SL,Name of Geospatial attributes,Description of the Field,Data Source,Web Source,Method of Geoprocessing,Unit,Risk component,Group of the factors ,Remarks,Assumption
206,Mean H,Mean significant wave height within 12.5 miles of the coast,USGS,https://www.usgs.gov/data/climatological-wave-height-wave-period-and-wave-power-along-coastal-areas-east-coast-united,,,Hazard,,,
207,Mean_T,Mean Peak wave period within 12.5 miles of the coast,USGS,https://www.usgs.gov/data/climatological-wave-height-wave-period-and-wave-power-along-coastal-areas-east-coast-united,,,Hazard,,,
208,Mean_P,Mean wave power within 12.5 miles of the coast,USGS,https://www.usgs.gov/data/climatological-wave-height-wave-period-and-wave-power-along-coastal-areas-east-coast-united,,,Hazard,,,
209,Age,Age: Population Age 65 and Older,FEMA RAPT,https://www.fema.gov/about/reports-and-data/resilience-analysis-planning-tool,,,TBD,Lack of adaptive capacity,,
210,Age_Bins,"Because the indicator datasets are so large, FEMA binned the datasets and assigned consistent color ramps for the bins to provide a visual cue for users to quickly identify ranges for the data. These bins and associated colors provide a more immediate high-level understanding of a geographic area’s characteristics.",FEMA RAPT,https://www.fema.gov/about/reports-and-data/resilience-analysis-planning-tool,,,TBD,Lack of adaptive capacity,,
211,Disability,Disability: Percent of the Population with a Disability,FEMA RAPT,https://www.fema.gov/about/reports-and-data/resilience-analysis-planning-tool,,,TBD,Lack of adaptive capacity,,
212,Disabili_1,,FEMA RAPT,https://www.fema.gov/about/reports-and-data/resilience-analysis-planning-tool,,,TBD,Lack of adaptive capacity,,
213,Education,"Educational Attainment: Lack of High School Diploma in
Adults over Age 25",FEMA RAPT,https://www.fema.gov/about/reports-and-data/resilience-analysis-planning-tool,,,TBD,Lack of adaptive capacity,,
214,Education_,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
215,Unemployme,"Unemployment Rate: Percent of the Labor Force That Is
Unemployed",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
216,Unemploy_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
217,GINI,Income Inequality: Gini Index,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
218,GINI_Bins,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
219,Uninsured_,"Health Insurance: Percent without Health Insurance
(Public or Private)",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
220,Uninsured1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
221,Limited_En,"English Language Proficiency: Percent of Households with
Limited English Proficiency",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
222,Limited__1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
223,Median_Inc,Household Income: Median Household Income,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
224,Median_I_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
225,Mobile_Hom,Presence of Mobile Homes: Percentage of Mobile Homes as a Function of Total Housing Units,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
226,Mobile_H_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
227,Owner_Occu,"Home Ownership: Percent of Owner-Occupied Housing
Units",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
228,Owner_Oc_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
229,Single_Par,Single-Parent Households: Percent of Single-Parent Households as a Function of All Families,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
230,Single_P_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
231,Vacant_Ren,Rental Property Capacity: Percent Vacant Rentals,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
232,Vacant_R_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
233,No_Vehicle,Mobility: Percent of Households without a Vehicle,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
234,No_Vehic_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
235,Civil_Org,"Connection to Civic and Social Organizations: Civic and
Social Organizations per 10,000 Population",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
236,Civil_Org_,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
237,Hospitals,"Hospital Capacity: Hospitals per 10,000 Population",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
238,Hospitals_,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
239,Medical,"Medical Professional Capacity: Health Diagnosing and
Treating Practitioners per 1,000 Population",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
240,Medical_Bi,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
241,Religion,Affiliation with a Religion: Percent of Religious Adherent,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
242,Religion_B,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
243,Schools,"Presence of Mobile Homes: Percentage of Mobile Homes
as a Function of Total Housing Units",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
244,Schools_Bi,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
245,Population,Population Change: Percent Population Change,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
246,Populati_1,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
247,Hotel,"Hotel/Motel Capacity: Hotels and Motels per 5,000
Population",FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
248,Hotel_Bins,,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
249,Total_Popu,Total Population,FEMA RAPT,*,,,TBD,Lack of adaptive capacity,,
250,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,HPI_2022,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Eliminated factors,,,,,,,,,,
54,,"HPI for the year 2000/2022. The FHFA House Price Index (FHFA HPI®) is a comprehensive? collection of public, freely available house price indexes that measure changes in single-family home values ",Federal Housing Finance Agency,https://www.fhfa.gov/DataTools,A baseline scenario of HPI,,,,Duplicate factors BUILDVALUE considered the property value already',
56,,Port Activity (Factor is Removed),Global Port Activity,,,,,,Does not have enough data for the study area,
